Group,DEC,HEX,Mode,Alpha Tag,Description,Tag
Interoperability/Mutual Aid (Systemwide),4025,fb9,D,FF MA 02,Fire Mutual Aid 2,Fire-Tac
Interoperability/Mutual Aid (Systemwide),4027,fbb,D,FF MA 03,Fire Mutual Aid 3,Fire-Tac
Interoperability/Mutual Aid (Systemwide),4029,fbd,D,FF MA 04,Fire Mutual Aid 4,Fire-Tac
Interoperability/Mutual Aid (Systemwide),4031,fbf,D,FF MA 05,Fire Mutual Aid 5,Fire-Tac
Interoperability/Mutual Aid (Systemwide),4033,fc1,D,FF MA 06,Fire Mutual Aid 6,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3929,f59,D,FF MA 07,Fire Mutual Aid 7,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3931,f5b,D,FF MA 08,Fire Mutual Aid 8,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3933,f5d,D,FF MA 09,Fire Mutual Aid 9,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3935,f5f,D,FF MA 10,Fire Mutual Aid 10,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3937,f61,D,FF MA 11,Fire Mutual Aid 11,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3939,f63,D,FF MA 12,Fire Mutual Aid 12,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3941,f65,D,FF MA 13,Fire Mutual Aid 13,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3943,f67,D,FF MA 14,Fire Mutual Aid 14,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3945,f69,D,FF MA 15,Fire Mutual Aid 15,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3947,f6b,D,FF MA 16,Fire Mutual Aid 16,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3949,f6d,D,FF MA 17,Fire Mutual Aid 17,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3951,f6f,D,FF MA 18,Fire Mutual Aid 18,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3953,f71,D,FF MA 19,Fire Mutual Aid 19,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3955,f73,D,FF MA 20,Fire Mutual Aid 20,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3957,f75,D,FF MA 21,Fire Mutual Aid 21,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3959,f77,D,FF MA 22,Fire Mutual Aid 22,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3961,f79,D,FF MA 23,Fire Mutual Aid 23,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3963,f7b,D,FF MA 24,Fire Mutual Aid 24,Fire-Tac
Interoperability/Mutual Aid (Systemwide),3965,f7d,D,EMS MA 07,EMS Mutual Aid 7,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3967,f7f,D,EMS MA 08,EMS Mutual Aid 8,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3969,f81,D,EMS MA 09,EMS Mutual Aid 9,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3971,f83,D,EMS MA 10,EMS Mutual Aid 10,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3973,f85,D,EMS MA 11,EMS Mutual Aid 11,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3975,f87,D,EMS MA 12,EMS Mutual Aid 12,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3977,f89,D,EMS MA 13,EMS Mutual Aid 13,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3979,f8b,D,EMS MA 14,EMS Mutual Aid 14,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3981,f8d,D,EMS MA 15,EMS Mutual Aid 15,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3983,f8f,D,EMS MA 16,EMS Mutual Aid 16,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3985,f91,D,EMS MA 17,EMS Mutual Aid 17,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3987,f93,D,EMS MA 18,EMS Mutual Aid 18,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3989,f95,D,EMS MA 19,EMS Mutual Aid 19,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3991,f97,D,EMS MA 20,EMS Mutual Aid 20,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3993,f99,D,EMS MA 21,EMS Mutual Aid 21,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3995,f9b,D,EMS MA 22,EMS Mutual Aid 22,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3997,f9d,D,EMS MA 23,EMS Mutual Aid 23,EMS-Tac
Interoperability/Mutual Aid (Systemwide),3999,f9f,D,EMS MA 24,EMS Mutual Aid 24,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4035,fc3,D,EMS MA 01,EMS Mutual Aid 1,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4037,fc5,D,EMS MA 02,EMS Mutual Aid 2,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4039,fc7,D,EMS MA 03,EMS Mutual Aid 3,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4041,fc9,D,EMS MA 04,EMS Mutual Aid 4,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4043,fcb,D,EMS MA 05,EMS Mutual Aid 5,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4045,fcd,D,EMS MA 06,EMS Mutual Aid 6,EMS-Tac
Interoperability/Mutual Aid (Systemwide),4047,fcf,D,AirMed LZ UpperE,Air Medical-Landing Zone Upper East [LZ Upper East (TN)],EMS-Tac
Interoperability/Mutual Aid (Systemwide),4049,fd1,D,AirMed LZ Middle,Air Medical-Landing Zone Middle [LZ Middle (TN)],EMS-Tac
Interoperability/Mutual Aid (Systemwide),4051,fd3,D,AirMed LZ LowerE,Air Medical-Landing Zone Lower East [LZ Lower East (TN)],EMS-Tac
Interoperability/Mutual Aid (Systemwide),4053,fd5,D,AirMed LZ West,Air Medical-Landing Zone West [LZ West (TN)],EMS-Tac
Interoperability/Mutual Aid (Systemwide),3917,f4d,D,UTILTY MA EAST,Utilities Mutual Aid East Tennessee,Utilities
Interoperability/Mutual Aid (Systemwide),3919,f4f,D,UTILTY MA MIDL,Utilities Mutual Aid Middle Tennessee,Utilities
Interoperability/Mutual Aid (Systemwide),3921,f51,D,UTILTY MA WEST,Utilities Mutual Aid West Tennessee,Utilities
TN - Interop (Statewide),1471,5bf,D,TN CALL,Hailing Channel,Interop
TN - Interop (Statewide),1473,5c1,D,TN IO 1,Interop 1,Interop
TN - Interop (Statewide),1475,5c3,D,TN IO 2,Interop 2,Interop
TN - Interop (Statewide),1477,5c5,D,TN IO 3,Interop 3,Interop
TN - Interop (Statewide),1479,5c7,D,TN IO 4,Interop 4,Interop
TN - Interop (Statewide),1481,5c9,D,TN IO 5,Interop 5,Interop
TN - Interop (Statewide),1483,5cb,D,TN IO 6,Interop 6,Interop
TN - Interop (Statewide),1485,5cd,D,TN IO 7,Interop 7,Interop
TN - Interop (Statewide),4001,fa1,D,TN IO 8,Interop 8,Interop
TN - Interop (Statewide),4003,fa3,D,TN IO 9,Interop 9,Interop
TN - Interop (Statewide),4005,fa5,D,TN IO 10,Interop 10,Interop
TN - Interop (Statewide),4007,fa7,D,TN IO 11,Interop 11,Interop
TN - Interop (Statewide),4009,fa9,D,TN IO 12,Interop 12,Interop
TN - Interop (Statewide),4011,fab,D,TN IO 13,Interop 13,Interop
TN - Interop (Statewide),4013,fad,D,TN IO 14,Interop 14,Interop
TN - Interop (Statewide),4015,faf,D,TN IO 15,Interop 15,Interop
TN - Emergency Management Agency,1539,603,D,TEMA,TEMA,Emergency Ops
TN - Emergency Management Agency,3923,f53,T,TEMA EOC 1,Emergency Operations Center 1,Emergency Ops
TN - Emergency Management Agency,3925,f55,T,TEMA EOC 2,Emergency Operations Center 2,Emergency Ops
TN - Emergency Management Agency,3927,f57,T,TEMA EMA MA,Mutual Aid,Emergency Ops
TN - Emergency Management Agency,16005,3e85,D,TEMA SOW 1,Site-on Wheels 1,Emergency Ops
TN - Emergency Management Agency,16006,3e86,D,TEMA SOW 2,Site-on Wheels 2,Emergency Ops
TN - Emergency Management Agency,16007,3e87,D,TEMA SOW 3,Site-on Wheels 3,Emergency Ops
TN - Emergency Management Agency,16008,3e88,D,TEMA SOW 4,Site-on Wheels 4,Emergency Ops
TN - Emergency Management Agency,16009,3e89,D,TEMA SOW 5,Site-on Wheels 5,Emergency Ops
TN - Emergency Management Agency,16010,3e8a,D,TEMA SOW 6,Site-on Wheels 6,Emergency Ops
TN - Emergency Management Agency,16011,3e8b,D,TEMA SOW 7,Site-on Wheels 7,Emergency Ops
TN - Emergency Management Agency,16012,3e8c,D,TEMA SOW 8,Site-on Wheels 8,Emergency Ops
TN - Emergency Management Agency,16013,3e8d,D,TEMA Comm U,Comm U,Emergency Ops
TN - Emergency Management Agency,16022,3e96,D,TEMA Center,Center,Emergency Ops
TN - Emergency Management Agency,16023,3e97,D,TEMA East,East,Emergency Ops
TN - Emergency Management Agency,16024,3e98,D,TEMA Common 1,Statewide Common 1,Emergency Ops
TN - Emergency Management Agency,16025,3e99,D,TEMA Common 2,Statewide Common 2,Emergency Ops
TN - Emergency Management Agency,16019,3e93,D,TEMA OPS,State Emergency Operations Center,Emergency Ops
TN - Emergency Management Agency,16001,3e81,D,TEMA TAC-1,Tactical 1,Emergency Ops
TN - Emergency Management Agency,16002,3e82,D,TEMA TAC-2,Tactical 2,Emergency Ops
TN - Emergency Management Agency,16003,3e83,D,TEMA TAC-3,Tactical 3,Emergency Ops
TN - Emergency Management Agency,16004,3e84,D,TEMA TAC-4,Tactical 4,Emergency Ops
TN - Emergency Management Agency,16000,3e80,D,TEMA TN StateNet,TN State Net,Emergency Ops
TN - Emergency Management Agency,16021,3e95,D,TEMA West,West TN Operations,Emergency Ops
TN - National Guard,16015,3e8f,D,NG TAC-1,Tactical 1,Military
TN - National Guard,16016,3e90,D,NG TAC-2,Tactical 2,Military
TN - National Guard,16017,3e91,D,NG TAC-3,Tactical 3,Military
TN - National Guard,16018,3e92,D,NG TAC-4,Tactical 4,Military
TN - National Guard,16026,3e9a,D,NG OPS,Statewide Operations,Military
TN - National Guard,16027,3e9b,D,NG FLT OPS,Air Operations,Military
TN - State Highway Patrol: Statewide,47034,b7ba,TE,THP-Pursuit1,Statewide Pursuit 1,Law Tac
TN - State Highway Patrol: Statewide,47035,b7bb,T,THP-Pursuit2,Statewide Pursuit 2,Law Tac
TN - State Highway Patrol: Statewide,47038,b7be,TE,THP-SW Event,Statewide Events,Law Tac
TN - State Highway Patrol: Statewide,47046,b7c6,T,THP-Calling,Statewide Calling (Station-to-Station),Law Tac
TN - State Highway Patrol: Statewide,47049,b7c9,D,THP Radio 47049,"Radio Techs (D2, D6)",Public Works
TN - State Highway Patrol: Statewide,47051,b7cb,T,THP-Air Disp,Air Dispatch,Law Dispatch
TN - State Highway Patrol: Statewide,47052,b7cc,T,THP-Calling,Statewide Calling (Station-to-Station),Law Tac
"Anderson, Blount, Campbell, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union",47000,b798,T,THP-D1-Disp1,Dispatch 1,Law Dispatch
"Anderson, Blount, Campbell, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union",47001,b799,TE,THP-D1-Disp2,Dispatch 2,Law Dispatch
"Anderson, Blount, Campbell, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union",47050,b7ca,T,THP-D1-Disp3,Dispatch 3,Law Dispatch
"Anderson, Blount, Campbell, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union",47002,b79a,TE,THP-D1-C2C,Car-to-Car,Law Talk
"Anderson, Blount, Campbell, Knox, Loudon, Monroe, Morgan, Roane, Scott, Sevier, Union",47003,b79b,TE,THP-D1-Event1,Event 1,Law Tac
"Bledsoe, Bradley, Coffee, Franklin, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie",47004,b79c,T,THP-D2-Disp1,Dispatch 1,Law Dispatch
"Bledsoe, Bradley, Coffee, Franklin, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie",47005,b79d,TE,THP-D2-Disp2,Dispatch 2,Law Dispatch
"Bledsoe, Bradley, Coffee, Franklin, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie",47006,b79e,TE,THP-D2-C2C,Car-to-Car,Law Talk
"Bledsoe, Bradley, Coffee, Franklin, Grundy, Hamilton, Marion, McMinn, Meigs, Polk, Rhea, Sequatchie",47007,b79f,TE,THP-D2-Event1,Event 1,Law Tac
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47008,b7a0,T,THP-D3-Disp1,Dispatch 1,Law Dispatch
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47009,b7a1,TE,THP-D3-Disp2,Dispatch 2,Law Dispatch
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47010,b7a2,TE,THP-D3-C2C,Car-to-Car,Law Talk
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47011,b7a3,T,THP-D3-Event1,Events 1,Law Tac
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47012,b7a4,TE,THP-D3-Event2,Events 2,Law Tac
"Cheatham, Davidson, Dickson, Houston, Humphreys, Montgomery, Robertson, Rutherford, Stewart, Sumner, Williamson, Wilson",47013,b7a5,TE,THP-D3-Event3,Events 3,Law Tac
"Crockett, Dyer, Fayette, Hardeman, Haywood, Lake, Lauderdale, Obion, Shelby, Tipton",47014,b7a6,T,THP-D4-Disp1,Dispatch 1,Law Dispatch
"Crockett, Dyer, Fayette, Hardeman, Haywood, Lake, Lauderdale, Obion, Shelby, Tipton",47015,b7a7,TE,THP-D4-Disp2,Dispatch 2,Law Dispatch
"Crockett, Dyer, Fayette, Hardeman, Haywood, Lake, Lauderdale, Obion, Shelby, Tipton",47016,b7a8,TE,THP-D4-C2C,Car-to-Car,Law Talk
"Crockett, Dyer, Fayette, Hardeman, Haywood, Lake, Lauderdale, Obion, Shelby, Tipton",47017,b7a9,TE,THP-D4-Event1,Event 1,Law Tac
"Carter, Claiborne, Cocke, Grainger, Greene, Hamblen, Hancock, Hawkins, Jefferson, Johnson, Sullivan, Unicoi, Washington",47018,b7aa,T,THP-D5-Disp1,Dispatch 1,Law Dispatch
"Carter, Claiborne, Cocke, Grainger, Greene, Hamblen, Hancock, Hawkins, Jefferson, Johnson, Sullivan, Unicoi, Washington",47019,b7ab,TE,THP-D5-Disp2,Dispatch 2,Law Dispatch
"Carter, Claiborne, Cocke, Grainger, Greene, Hamblen, Hancock, Hawkins, Jefferson, Johnson, Sullivan, Unicoi, Washington",47020,b7ac,TE,THP-D5-C2C,Car-to-Car,Law Talk
"Carter, Claiborne, Cocke, Grainger, Greene, Hamblen, Hancock, Hawkins, Jefferson, Johnson, Sullivan, Unicoi, Washington",47021,b7ad,TE,THP-D5-Event1,Event 1,Law Tac
"TN - State Highway Patrol, District 6: Cookeville",47022,b7ae,T,THP-D6-Disp1,Dispatch 1,Law Dispatch
"TN - State Highway Patrol, District 6: Cookeville",47023,b7af,TE,THP-D6-Disp2,Dispatch 2,Law Dispatch
"TN - State Highway Patrol, District 6: Cookeville",47024,b7b0,TE,THP-D6-C2C,Car-to-Car,Law Talk
"TN - State Highway Patrol, District 6: Cookeville",47025,b7b1,TE,THP-D6-Event1,Event 1,Law Tac
"Bedford, Giles, Hickman, Lawrence, Lewis, Lincoln, Marshall, Maury, Moore, Perry, Wayne",47026,b7b2,T,THP-D7-Disp1,Dispatch 1,Law Dispatch
"Bedford, Giles, Hickman, Lawrence, Lewis, Lincoln, Marshall, Maury, Moore, Perry, Wayne",47027,b7b3,TE,THP-D7-Disp2,Dispatch 2,Law Dispatch
"Bedford, Giles, Hickman, Lawrence, Lewis, Lincoln, Marshall, Maury, Moore, Perry, Wayne",47028,b7b4,TE,THP-D7-C2C,Car-to-Car,Law Talk
"Bedford, Giles, Hickman, Lawrence, Lewis, Lincoln, Marshall, Maury, Moore, Perry, Wayne",47029,b7b5,TE,THP-D7-Event1,Event 1,Law Tac
"Benton, Carroll, Chester, Decatur, Gibson, Hardin, Henderson, Henry, Madison, McNairy, Weakley",47030,b7b6,T,THP-D8-Disp1,Dispatch 1,Law Dispatch
"Benton, Carroll, Chester, Decatur, Gibson, Hardin, Henderson, Henry, Madison, McNairy, Weakley",47031,b7b7,TE,THP-D8-Disp2,Dispatch 2,Law Dispatch
"Benton, Carroll, Chester, Decatur, Gibson, Hardin, Henderson, Henry, Madison, McNairy, Weakley",47032,b7b8,TE,THP-D8-C2C,Car-to-Car,Law Talk
"Benton, Carroll, Chester, Decatur, Gibson, Hardin, Henderson, Henry, Madison, McNairy, Weakley",47033,b7b9,TE,THP-D8-Event1,Event 1,Law Tac
TN - State Highway Patrol - Capital Protection Unit,47097,b7f9,TE,THP-CPU OPS1,Security Operations 1,Law Dispatch
TN - State Highway Patrol - Capital Protection Unit,47099,b7fb,TE,THP CPU GSD1,Governor Security Detail 1,Law Tac
TN - State Highway Patrol - Capital Protection Unit,47100,b7fc,TE,THP-CPU GSD2,Governor Security Detail 2,Law Tac
TN - Tennessee Bureau of Investigation,47201,b861,De,TBI 1,Operations (Ch 1),Law Tac
TN - Tennessee Bureau of Investigation,47202,b862,De,TBI 2,Operations (Ch 2),Law Tac
TN - Tennessee Bureau of Investigation,47203,b863,De,TBI 3,Operations (Ch 3),Law Tac
TN - Tennessee Bureau of Investigation,47204,b864,Te,TBI 4,Operations (Ch 4),Law Tac
TN - Tennessee Bureau of Investigation,47205,b865,Te,TBI 5,Operations (Ch 5),Law Tac
"Covers Bradley, McMinn, Monroe, and Polk counties.",5538,15a2,D,10th JDTF c2c,Car-to-Car,Law Tac
"Covers Bradley, McMinn, Monroe, and Polk counties.",5539,15a3,DE,10th JDTF Ops 1,Operations 1,Law Tac
"Covers Bradley, McMinn, Monroe, and Polk counties.",5540,15a4,DE,10th JDTF Ops 2,Operations 2,Law Tac
"Covers Bradley, McMinn, Monroe, and Polk counties.",5541,15a5,DE,10th JDTF Ops 3,Operations 3,Law Tac
TN - DOC - Miscellaneous,92,05c,D,TNDOC Transport,Transports,Corrections
TN - DOC - Miscellaneous,15107,3b03,D,TNDOC 15107,Operations,Corrections
TN - DOC - Miscellaneous,15356,3bfc,D,TNDOC 15356 A,Jail Operations A,Corrections
TN - DOC - Miscellaneous,15361,3c01,D,TNDOC 15361 B,Jail Operations B,Corrections
TN - DOC - Strike Force,15301,3bc5,D,TNDOC-SF 15301A,Operations A,Corrections
TN - DOC - Strike Force,15302,3bc6,D,TNDOC-SF 15302B,Operations B,Corrections
TN - DOC - Strike Force,15303,3bc7,D,TNDOC-SF 15303C,Operations C,Corrections
TN - DOC - Strike Force,15307,3bcb,D,TNDOC-SF 15307D,Operations D,Corrections
TN - DOC - Strike Force,15310,3bce,D,TNDOC-SF 15310E,Operations E,Corrections
TN - DOC - Strike Force,15311,3bcf,D,TNDOC-SF 153011F,Operations F,Corrections
TN - DOC - Bledsoe County Correctional Facility (*),15152,3b30,D,TNDOC-BCC Guards,Gaurds,Corrections
TN - DOC - Bledsoe County Correctional Facility (*),15164,3b3c,D,TNDOC-BCC Ops1,Operations 1,Corrections
TN - DOC - Bledsoe County Correctional Facility (*),15165,3b3d,D,TNDOC-BCC Ops2,Operations 2,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15175,3b47,T,TNDOC-MLCC 15175,Operations,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15177,3b49,D,TNDOC-MLCC Ops 1,Operations 1,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15178,3b4a,D,TNDOC-MLCC Ops 2,Operations 2,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15179,3b4b,T,TNDOC-MLCC Ops 3,Operations 3,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15180,3b4c,D,TNDOC-MLCC Ops 4,Operations 4,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15181,3b4d,D,TNDOC-MLCC Ops 5,Operations 5,Corrections
TN - DOC - Mark H. Luttrell Correctional Center (*),15182,3b4e,D,TNDOC-MLCC Ops 6,Operations 5,Corrections
TN - DOC - Northeast Correctional Complex (*),15188,3b54,T,NECX-SEC,Security,Corrections
TN - DOC - Northeast Correctional Complex (*),15189,3b55,T,NECX-U MGT,U Management,Corrections
TN - DOC - Northeast Correctional Complex (*),15190,3b56,D,NECX-MTNC,Mountain City,Corrections
TN - DOC - Northeast Correctional Complex (*),15191,3b57,D,NECX-CERT,CERT Team,Corrections
TN - DOC - Northeast Correctional Complex (*),15192,3b58,D,NECX-ADMIN,Administration,Corrections
TN - DOC - Northeast Correctional Complex (*),15193,3b59,D,NECX-LLINES,L-Lines,Corrections
TN - DOC - Northeast Correctional Complex (*),15194,3b5a,D,NECX-TALK,Talk,Corrections
TN - DOC - Northeast Correctional Complex (*),15195,3b5b,D,NECX-MIS,Miscellaneous,Corrections
TN - DOC - Northeast Correctional Complex (*),15196,3b5c,D,NECX-WORK,Work Crew,Corrections
TN - DOC - Northeast Correctional Complex (*),15197,3b5d,D,NECX-10,Operations (Ch 10),Corrections
TN - DOC - Northeast Correctional Complex (*),15198,3b5e,D,NECX-EMER,Emergency,Corrections
TN - DOC - Northwest Correctional Complex (*),15115,3b0b,D,NWCX Control 1,Jail Control 1,Corrections
TN - DOC - Northwest Correctional Complex (*),15033,3ab9,D,NWCX Control 2,Jail Control 2,Corrections
TN - DOC - Northwest Correctional Complex (*),15091,3af3,D,NWCX Control 3,Jail Control 3,Corrections
TN - DOC - Northwest Correctional Complex (*),15092,3af4,D,NWCX Jail,Jail Operations,Corrections
TN - DOC - Northwest Correctional Complex (*),15357,3bfd,D,NWCX Site 1,Site 1 Operations,Corrections
TN - DOC - Northwest Correctional Complex (*),15355,3bfb,D,NWCX Site 2,Site 2 Operations,Corrections
TN - DOC - Northwest Correctional Complex (*),15359,3bff,D,NWCX Unit 1,Unit 1,Corrections
TN - DOC - Northwest Correctional Complex (*),15354,3bfa,D,NWCX 15354,Operations (patch?),Corrections
TN - DOC - Northwest Correctional Complex (*),15365,3c05,D,NWCX 15365,Operations,Corrections
TN - DOC - Northwest Correctional Complex (*),15369,3c09,D,NWCX 15369,Operations,Corrections
"Brushy Mountain State Penitentiary (closed in 2009, now an Historic Site)",15001,3a99,D,TNDOC-PCF Transp,Transportation,Corrections
"Brushy Mountain State Penitentiary (closed in 2009, now an Historic Site)",15004,3a9c,D,TNDOC-PCF 15004,Operations 15004,Corrections
"Brushy Mountain State Penitentiary (closed in 2009, now an Historic Site)",15011,3aa3,D,TNDOC-PCF Custod,Custodian Crew,Corrections
"Brushy Mountain State Penitentiary (closed in 2009, now an Historic Site)",15012,3aa4,D,TNDOC-PCF Guards,Guards,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),101,065,D,TNDOC-RMSI A,Operations A,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),102,066,D,TNDOC-RMSI B,Operations B,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),105,069,D,TNDOC-RMSI C,Operations C,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),107,06b,D,TNDOC-RMSI Cntrl,Control,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),108,06c,T,TNDOC-RMSI E,Operations E,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),15036,3abc,D,TNDOC-RMSI F,Operations F,Corrections
TN - DOC - Riverbend Maximum Security Institution (*),15038,3abe,D,TNDOC-RMSI G,Operations G,Corrections
