DEC,HEX,Mode,Alpha Tag,Description,Tag
20117,4e95,DE,WCESTAC18,Tactical 18 (Spring Hill Fire),Multi-Tac
20118,4e96,DE,WCESTAC19,Tactical 19 (Spring Hill Fire),Multi-Tac
20119,4e97,DE,WCESTAC20,Tactical 20 (Spring Hill Fire),Multi-Tac
20120,4e98,DE,WCESTAC21,Tactical 21 (WOPS 1),Interop
20121,4e99,DE,WCESTAC22,Tactical 22 (WOPS 1),Interop
20122,4e9a,DE,WCESTAC23,Tactical 23 (WOPS 1),Interop
20123,4e9b,DE,WCESTAC24,Tactical 24 (WOPS 1),Interop
20124,4e9c,DE,WCESTAC25,Tactical 25 (WOPS 5),Interop
20125,4e9d,DE,WCESTAC26,Tactical 26 (WOPS 6),Interop
20126,4e9e,DE,WCESTAC27,Tactical 27 (WOPS 7),Interop
20127,4e9f,DE,WCESTAC28,Tactical 28,Multi-Tac
20128,4ea0,DE,WCESTAC29,Tactical 29,Multi-Tac
20129,4ea1,DE,WCESTAC30,Tactical 30,Multi-Tac
20130,4ea2,DE,WCESTAC31,Tactical 31,Multi-Tac
20131,4ea3,DE,WCESTAC32,Tactical 32,Multi-Tac
20080,4e70,DE,WCFD DISP,Fire Dispatch,Fire Dispatch
20532,5034,DE,WCFD ALERT,Fire Station Alerting,Fire Dispatch
20190,4ede,DE,WCEMS DISP,Williamson County EMS Dispatch,EMS Dispatch
20533,5035,DE,WCEMS ALERT,Williamson County EMS Station Alerting,EMS Dispatch
20230,4f06,DE,WCSO-DISP,Sheriff Dispatch,Law Dispatch
20040,4e48,DE,BWPD-DISP1,Police - Primary,Law Dispatch
20041,4e49,DE,BWPD-TAC-2,Police - Tactical 2,Law Tac
20046,4e4e,DE,BWFD-DISP,Fire - Dispatch,Fire Dispatch
20531,5033,DE,BWFD-TONES,Fire - Station Alerting,Fire Dispatch
20390,4fa6,DE,Fairview Fire,Fire: Dispatch,Fire Dispatch
20392,4fa8,DE,Fairview Police,Police: Dispatch,Law Dispatch
20000,4e20,DE,Franklin Police,Police: Dispatch,Law Dispatch
20010,4e2a,DE,Frankln PD Tac-1,Police: Tac-1,Law Tac
20001,4e21,DE,Frankln PD Tac-2,Police: Tac-2,Law Tac
20033,4e41,D,Franklin-Event-1,Special Event 1,Multi-Tac
20034,4e42,D,Franklin-Event-2,Special Event 2,Multi-Tac
20035,4e43,D,Franklin-Event-3,Special Event 3,Multi-Tac
20036,4e44,D,Franklin-Event-4,Special Event 4,Multi-Tac
20037,4e45,D,Franklin-Event-5,Special Event 5,Multi-Tac
20530,5032,D,FFD-ALERT,Fire: Station Alerting,Fire Dispatch
20541,503d,D,FFD-ATG,Fire: Announcement,Fire Dispatch
20015,4e2f,DE,FFD-DISP,Fire: Dispatch,Fire Dispatch
20016,4e30,DE,FFD-TAC-1,Fire: Training Tactical,Fire-Tac
20017,4e31,D,FFD-PREVENT,Fire: Prevention,Fire-Talk
20028,4e3c,D,FPW-C-WASTE,Commercial Waste (Public Works),Public Works
20029,4e3d,D,FPW-R-WASTE,Residential Waste (Public Works),Public Works
20030,4e3e,D,FPW-FLEET,Fleet (Public Works),Public Works
20031,4e3f,D,FPW-TRAFFIC,Traffic (Public Works),Public Works
20038,4e46,D,FKTMA1,Transit 1 (Transit On Demand),Transportation
20039,4e47,D,FKTMA2,Transit 2 (Fixed Routes),Transportation
20014,4e2e,D,CSM-SECURITY,Cool Springs Mall Security,Security
20409,4fb9,DE,Nolensv Police,Police: Dispatch,Law Dispatch
20424,4fc8,DE,SprngHill Police,Police: Dispatch,Law Dispatch
20534,5036,DE,SprHl FD StaAlrt,Fire: Station Alerting,Fire Dispatch
20421,4fc5,DE,Spring Hill Fire,Fire: Dispatch,Fire Dispatch
20331,4f6b,D,WCSE1,Special Event 1,Multi-Tac
20332,4f6c,D,WCSE2,Special Event 2,Multi-Tac
20333,4f6d,D,WCSE3,Special Event 3,Multi-Tac
20334,4f6e,D,WCSE4,Special Event 4,Multi-Tac
20335,4f6f,D,WCSE5,Special Event 5,Multi-Tac
20336,4f70,D,WCSE6,Special Event 6,Multi-Tac
20337,4f71,D,WCSE7,Special Event 7,Multi-Tac
20338,4f72,D,WCSE8,Special Event 8,Multi-Tac
20339,4f73,D,WCSE9,Special Event 9,Multi-Tac
20548,5044,D,WCSE-ATG,Special Event Announcement,Multi-Dispatch
1425,591,D,NFDLF,Nashville Fire Lost Radio Location,Fire-Tac
773,305,D,NPDLF,Nashville Police Lost Radio Location,Law Tac
